dN	dS
0.05440	0.52310
0.01610	0.34080
0.00760	0.58410
0.09670	0.57830
0.02830	0.50910
0.00230	0.26730
0.01040	0.55040
0.07080	0.74650
0.02240	0.46300
0.08090	0.74830
0.10420	0.44480
0.19450	0.65590
0.02970	0.47810
0.02250	0.49720
0.04410	0.58790
0.01140	0.68070
0.15380	0.48250
0.13760	0.55180
0.10960	0.97220
0.06940	0.64030
0.10510	0.74530
0.03470	0.31150
0.06010	0.76470
0.00530	0.44800
0.10090	0.66210
0.10930	0.86180
0.25320	1.18580
0.01920	0.75610
0.11730	0.55600
0.00000	0.66160
0.00350	0.21050
0.04190	0.51120
0.11890	0.70730
0.00310	0.38890
0.04960	0.47800
0.00700	0.35530
0.21150	0.63650
0.21000	0.54230
0.02190	0.58870
0.01390	0.40060
0.00650	0.49680
0.00050	0.53750
0.15220	0.73320
0.02900	0.60430
0.16560	0.68030
0.11570	0.49010
0.24930	0.39460
0.05410	0.51050
0.01630	0.53110
0.04450	0.57600
0.03210	0.36690
0.02670	0.24270
0.11080	0.67090
0.11680	0.72520
0.03540	0.54960
0.01530	0.31680
0.04560	0.28510
0.09040	0.82940
0.04880	0.66360
0.04250	0.94930
0.03090	0.40670
0.03540	0.66920
0.16860	0.55690
0.01250	0.60150
0.18750	0.68100
0.17610	0.76700
0.11530	0.39670
0.00440	0.42740
0.03430	0.28210
0.06040	0.45570
0.05690	1.19770
0.02020	0.53500
0.06380	1.49370
0.09290	0.48680
0.04550	0.56010
0.06180	0.92210
0.02250	0.44720
0.02210	0.36430
0.06270	0.80600
0.03600	0.50210
0.06780	1.58360
0.08380	0.43620
0.03510	0.53630
0.01050	0.56400
0.03740	0.41260
0.10210	0.85170
0.04920	0.43920
0.01400	0.42040
0.05460	0.68230
0.19010	0.63920
0.00000	0.19280
0.10120	0.55430
0.02250	0.39280
0.01160	0.20550
0.00060	0.46250
0.02590	0.32350
0.16420	0.47510
0.15530	0.76850
0.07780	0.42230
0.01010	0.21730
0.08330	0.77810
0.05090	0.37210
0.01070	0.29410
0.07560	0.59600
0.02360	0.26070
0.01780	0.52900
0.01510	0.36000
0.00850	0.42170
0.03100	0.36800
0.00050	0.54170
0.04060	0.50380
0.09320	1.23090
0.03940	0.55720
0.08680	0.54460
0.07060	0.64800
0.17020	1.50660
0.02440	0.54330
0.16620	0.82870
0.05940	1.18730
0.00630	0.43410
0.10840	0.73990
0.11930	1.03470
0.07720	0.40440
0.02190	0.41090
0.38490	1.50110
0.00790	0.52910
0.02610	0.41060
0.07890	0.50000
0.08320	0.51450
0.05520	0.52460
0.14890	0.90730
0.06080	0.72990
0.02640	0.68790
0.02590	0.65130
0.02060	0.32900
0.05260	0.39280
0.02940	0.45560
0.09020	0.58950
0.05650	0.83020
0.03100	0.35680
0.03000	0.31240
0.05450	1.12000
0.02990	0.37970
0.10960	1.12300
0.09630	0.74060
0.01660	0.64970
0.01420	0.47030
0.16200	1.13760
0.09310	0.77140
0.00090	0.54590
0.02590	0.58970
0.03770	0.72360
0.08420	0.71670
0.03350	0.40330
0.05780	0.72800
0.06140	0.86800
0.05590	0.41070
0.02250	0.55070
0.13610	0.69480
0.02140	0.56280
0.01420	0.43410
0.00320	0.39770
0.08520	0.83610
0.10220	0.83500
0.06510	0.70210
0.17310	0.87420
0.01770	1.14070
0.13390	1.12270
0.09650	0.48910
0.01190	0.36890
0.10560	1.55030
0.02860	3.96570
0.07900	0.59040
0.06210	0.62520
0.04860	1.25910
0.03750	0.45890
0.03930	0.67940
0.11230	0.88410
0.00790	0.27740
0.00820	0.50290
0.04790	0.69690
0.02740	0.41690
0.08460	1.10970
0.05420	0.40260
0.03970	0.42950
0.13340	0.49290
0.00550	0.58690
0.17900	0.56300
0.10920	0.67360
0.02140	0.43460
0.00800	0.19360
0.09210	0.56570
0.10530	0.44920
0.03820	1.03410
0.03010	0.60280
0.00720	0.51600
0.04910	0.69580
0.02270	0.24610
0.04010	0.41720
0.00450	0.12030
0.07800	0.82910
0.01190	0.34090
0.00690	0.47500
0.00990	0.48440
0.00270	0.29890
0.03180	0.60900
0.00290	0.33420
0.04140	0.43750
0.11190	0.71310
0.05760	0.47650
0.08610	0.65360
0.02910	0.61150
0.08320	0.46440
0.04580	0.59610
0.01250	0.36520
0.06290	0.43440
0.06360	0.97960
0.14880	0.90260
0.02370	0.63030
0.03480	0.52550
0.26220	0.85260
0.00830	0.38220
0.03870	0.66470
0.04770	0.68450
0.25590	0.60730
0.12810	0.58580
0.10330	0.39580
0.09330	0.55530
0.00720	0.53930
0.09220	0.74250
0.02520	0.70950
0.02560	1.20290
0.03320	0.89190
0.01500	0.40760
0.00500	0.24760
0.15140	0.92280
0.19570	0.69520
0.09660	0.53680
0.06920	0.57010
0.04540	0.45570
0.00950	0.42810
0.01870	0.41500
0.03190	0.53820
0.01470	0.31360
0.03110	0.68320
0.15490	0.57990
0.03150	0.51330
0.06090	0.48400
0.07340	0.56010
0.01240	0.31600
0.05800	0.65220
0.01520	0.33990
0.01580	0.79370
0.02190	0.34660
0.06810	0.63810
0.01630	0.40130
0.00540	0.40260
0.09590	0.79580
0.02090	0.42810
0.00300	0.40700
0.00230	0.34320
0.06810	0.94810
0.06030	0.62580
0.18190	0.49220
0.02540	0.55000
0.14950	0.64190
0.00600	0.58890
0.22980	0.98820
0.11320	0.46690
0.04830	0.39520
0.04360	0.58460
0.03300	0.56360
0.02530	0.95380
0.03010	0.37550
0.12120	0.52260
0.01110	0.56070
0.01780	0.56270
0.02840	0.61500
0.07180	0.38510
0.00990	0.57580
0.02980	0.57610
0.00790	0.60850
0.00230	0.51840
0.00500	0.24040
0.04300	0.38230
0.32310	0.69160
0.00000	0.17230
0.01620	1.15680
0.00800	0.47640
0.02950	0.58180
0.02270	0.72090
0.01310	0.31450
0.03610	0.87680
0.11160	0.56240
0.03780	0.51000
0.07950	0.62130
0.08420	0.92410
0.00760	0.44160
0.00700	0.56360
0.04270	1.37730
0.00890	1.36610
0.11930	1.14280
0.01490	0.92270
0.16570	0.51610
0.09870	0.59250
0.08580	0.65650
0.00860	0.57610
0.00390	0.59250
0.10040	0.48060
0.13710	0.66630
0.08620	0.61280
0.13920	0.50650
0.12820	0.75980
0.03280	0.41460
0.00000	0.55770
0.00070	0.44270
0.07150	0.46070
0.00760	0.32430
0.10090	0.59110
0.05750	0.31840
0.10200	0.55660
0.05770	0.92550
0.00170	0.37300
0.00620	0.27840
0.09870	0.50810
0.00300	1.18900
0.06880	0.64270
0.10940	1.15360
	
0.10760	0.50070
0.02460	0.54940
0.02840	0.61730
0.01280	0.32040
0.01620	0.34260
0.01140	0.21910
0.00890	0.54550
0.01140	0.45590
0.06340	1.23120
0.04500	0.42610
0.02550	0.43130
0.02550	0.42800
0.08440	0.68450
0.03280	0.37710
0.02420	0.45320
0.17300	0.74160
0.05710	0.57350
0.04650	0.41740
0.02590	0.64980
0.02590	0.63610
0.06370	0.73010
0.06100	1.53860
0.04060	0.79740
0.01960	0.59770
0.06920	0.47240
0.06670	0.75750
0.08290	0.42370
0.02760	1.00110
0.12240	0.36140
0.18540	0.48810
0.08270	0.86550
0.01430	0.46480
0.05820	0.59120
0.02160	0.58490
0.02900	0.64180
0.05480	0.47490
0.00220	0.66940
0.02130	0.41520
0.00000	0.53100
0.13170	0.43050
0.07000	0.92680
0.02110	0.44690
0.05900	0.65120
0.02230	0.53590
0.02760	0.22410
0.08440	0.40210
0.04500	0.57310
0.06560	0.42210
0.07650	0.82420
0.04920	0.68230
0.08500	0.63220
0.00240	0.43740
0.00510	0.92640
0.05890	0.62610
0.00600	0.67560
0.02890	0.66770
0.01700	0.41440
0.00320	0.37390
0.06280	0.45610
0.05070	0.52830
0.12150	0.86030
0.36020	1.02100
0.03540	0.61780
0.01540	0.81850
0.03640	0.82050
0.05110	0.77430
0.00990	0.39890
0.07970	0.52100
0.07970	0.52100
0.06530	1.26540
0.05080	0.57480
0.03170	0.36830
0.00000	0.32330
