dN	dS
0.17720	0.68420
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
0.07560	0.67950
0.09340	0.78470
0.22570	0.82590
	
	
0.03220	0.52590
0.02660	0.64890
0.03770	0.53210
0.18750	0.37350
0.11220	0.56890
	
0.06750	0.42000
	
0.10520	0.67190
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
0.03410	0.60410
0.00130	1.29010
	
0.04620	0.45670
0.08970	0.73520
0.09600	0.76110
0.08170	0.79910
0.13510	0.91560
0.00000	0.22230
0.20490	0.75730
0.01330	0.13640
0.05360	0.61760
0.18810	0.95580
	
0.00170	0.44790
0.02600	0.36320
0.18540	1.15820
	
0.03960	0.46790
0.50020	2.10840
0.49600	5.09920
0.47010	2.97970
	
0.02680	0.42390
	
	
	
	
	
	
	
	
0.20710	0.58010
	
0.02520	0.53050
0.05840	0.39250
0.11770	0.57630
0.16920	0.79740
0.05200	0.39380
0.08720	1.03280
0.09860	0.75930
0.04160	0.68270
0.15310	0.50260
	
	
	
0.10170	0.50600
	
	
	
0.17450	0.66620
	
0.09920	0.69830
	
0.01410	0.41330
0.06740	0.69590
0.06620	0.49450
	
0.07310	0.67000
	
0.20220	1.02170
0.04390	0.32090
	
0.03270	0.29970
	
0.08740	0.52230
0.03330	0.53370
0.05090	1.10950
0.17250	0.70420
0.34420	0.89200
0.21700	0.60310
0.28000	0.83130
0.16400	0.66270
0.00040	0.43350
0.11180	1.37200
	
	
0.14120	0.62980
0.21910	0.80540
0.17160	0.51460
0.12350	0.72460
0.64740	1.13170
0.59810	0.43310
0.67840	1.06970
0.59740	1.76870
0.60100	1.42610
0.48370	1.43140
0.64140	1.45090
0.44510	1.05820
0.74220	1.14730
0.63740	1.39620
0.64900	1.39250
0.63990	1.39180
0.61900	1.31300
0.65270	1.55410
0.05840	0.61050
0.07990	0.45620
0.01080	0.41310
0.00960	0.46420
0.05240	0.50600
0.22200	0.69460
0.14730	1.35340
0.02310	0.68590
	
0.01750	0.36910
0.03460	0.69490
0.15820	0.90400
	
0.18780	0.51330
	
0.32770	0.56990
	
0.09670	0.61570
0.16670	0.96610
