Name	Description	GTEX-N7MS-0007-SM-2D7W1	GTEX-N7MS-0011-R8a-SM-2YUMK	GTEX-N7MS-0126-SM-3TW8O	GTEX-N7MS-0426-SM-2YUN6	GTEX-N7MS-0826-SM-2HML4	GTEX-N7MS-0926-SM-2HMIZ	GTEX-N7MS-1626-SM-3LK5F	GTEX-N7MS-2326-SM-2HMLD	GTEX-N7MS-2526-SM-2D7W3	GTEX-N7MT-0726-SM-3TW8S	GTEX-N7MT-1426-SM-3LK5M	GTEX-N7MT-1626-SM-3LK71	GTEX-NFK9-0326-SM-3MJGV	GTEX-NFK9-1526-SM-3LK7B	GTEX-NFK9-1726-SM-3TW8P	GTEX-NFK9-2226-SM-3MJGP	GTEX-NPJ7-2726-SM-2I3FT	GTEX-O5YT-0826-SM-3TW8N	GTEX-OHPL-0126-SM-2HMJ7
Gene	Protein	Whole Blood	Brain - Hypothalamus	Testis	Muscle - Skeletal	Heart - Left Ventricle	Lung	Kidney - Cortex	Thyroid	Brain - Cerebellum	Uterus	Artery - Aorta	Pancreas	Adipose - Subcutaneous	Stomach	Adrenal Gland	Prostate	Brain - Cortex	Liver	Skin - Sun Exposed (Lower leg)
ENSG00000163956.6	LRPAP1	9.50613498687744	7.34829473495483	17.7557315826416	6.23024940490723	20.5692272186279	11.3119297027588	8.24055767059326	15.6900730133057	14.9233427047729	14.8594379425049	28.5954761505127	13.8648872375488	14.0066385269165	17.3813457489014	16.4410457611084	10.3565063476562	8.60512638092041	13.7897329330444	10.7157287597656
ENSG00000132406.7	TMEM128	1.19500803947449	10.3028297424316	10.6049194335938	2.32016229629517	5.09453010559082	5.97296190261841	5.75594854354858	11.2046155929565	6.75846433639526	9.19107246398926	7.72648334503174	6.06368684768677	8.19887256622314	7.76311111450195	8.20846557617188	4.80040836334229	5.6337194442749	4.95614719390869	8.26014709472656
ENSG00000145220.9	LYAR	5.27029180526733	3.27598214149475	84.1106338500977	3.62789011001587	5.17384815216064	3.71412754058838	2.97374010086060	7.55537033081055	2.63052797317505	8.00534152984619	4.92539644241333	3.25597548484802	6.32629632949829	3.16254138946533	3.77501630783081	4.50304412841797	2.39866232872009	12.1506605148315	6.53346061706543
ENSG00000168818.5	STX18	2.72123217582703	7.11907958984375	34.6135177612305	4.54471445083618	5.54517650604248	5.80452060699463	20.2294731140137	10.2529478073120	9.3064022064209	14.6293554306030	7.56317090988159	10.5801734924316	8.3987340927124	7.16420793533325	14.8757190704346	10.9618244171143	8.30628490447998	10.5643367767334	7.47400856018066
ENSG00000013288.4	MAN2B2	6.33654451370239	4.84163475036621	2.42324924468994	1.45280396938324	6.12392091751099	10.9916458129883	3.63600373268127	17.5851078033447	1.78378224372864	11.3149604797363	20.8822479248047	10.1974611282349	9.56140899658203	10.6395225524902	6.18506526947021	8.83662223815918	7.13194561004639	4.78612852096558	6.15351963043213
ENSG00000179010.10	MRFAP1	25.4181785583496	209.412551879883	106.234352111816	75.2971649169922	89.3693161010742	132.171218872070	160.49755859375	139.922058105469	158.678070068359	116.228965759277	151.789535522461	60.9969444274902	107.023895263672	93.933967590332	147.180969238281	138.110168457031	159.09228515625	123.329681396484	101.948188781738
ENSG00000170846.11	AC093323.3	2.56815528869629	7.18102645874023	9.7099905014038	3.46792936325073	4.24836015701294	3.92208361625671	9.4109115600586	8.46666717529297	7.89668989181519	9.37362766265869	5.48717784881592	6.35291337966919	5.25615501403809	5.77782392501831	9.09482097625732	14.7569169998169	11.0338678359985	5.36678552627563	12.6709012985229
ENSG00000178988.10	MRFAP1L1	4.59124135971069	53.7325668334961	20.8958339691162	13.7747840881348	23.8293838500977	20.8855075836182	40.3855781555176	40.5568199157715	55.1444396972656	32.122989654541	27.205358505249	31.1617069244385	30.7550525665283	27.7328147888184	37.8042411804199	53.3899230957031	42.5800247192383	22.4323177337646	30.019229888916
ENSG00000186222.3	CNO	1.68680870532990	2.08724069595337	5.8808798789978	2.36766910552979	4.31688117980957	2.73832798004150	5.9928994178772	6.61661005020142	4.7784423828125	4.22763061523438	8.83231544494629	6.56451797485352	4.47327136993408	4.94187259674072	9.1598653793335	7.8567442893982	4.84560871124268	6.92172718048096	5.8842077255249
ENSG00000170871.7	KIAA0232	2.73684358596802	14.3167791366577	7.96567440032959	9.71767902374268	5.4060173034668	7.09490537643433	3.78262305259705	6.97193622589111	12.4143075942993	6.08310127258301	4.97745418548584	4.00475454330444	10.1493968963623	6.82116270065308	8.19426441192627	7.83093738555908	9.14488220214844	4.8280725479126	5.25054740905762
